institution,trials,prospectively registered,percentage,conf_int_ll,conf_int_ul
Aalborg University,31,23,74.2,56.8,86.3
Aalborg University Hospital,35,25,71.4,54.900000000000006,83.7
Aarhus University,191,115,60.2,53.1,66.9
Aarhus University Hospital,66,40,60.6,48.5,71.5
Akershus University Hospital,11,9,81.8,52.300000000000004,96.8
Bispebjerg and Frederiksberg Hospital,77,48,62.3,51.2,72.3
Copenhagen University Hospital,172,120,69.8,62.5,76.1
Danderyd Hospital,9,3,33.3,12.1,64.60000000000001
Gothenburg University,25,10,40,23.400000000000002,59.3
Haukeland university hospital,30,17,56.7,39.2,72.6
Helsinki University Hospital,49,24,49,35.6,62.5
Herlev and Gentofte Hospital,111,65,58.6,49.3,67.30000000000001
Holbæk Hospital,3,2,66.7,11.799999999999999,98.3
Hvidovre and Amager Hospital,51,34,66.7,53,78
Karolinska Institutet,166,94,56.6,49,63.9
Karolinska University Hospital,48,24,50,36.4,63.6
Kuopio University Hospital,17,11,64.7,41.3,82.69999999999999
Linkoeping University,39,19,48.7,33.900000000000006,63.800000000000004
Linkoeping University Hospital,18,10,55.6,33.7,75.4
Lund University,36,18,50,34.5,65.5
Mental health services in the Capital Region of Denmark,4,2,50,8.9,91.10000000000001
Næstved Hospital,5,4,80,37.6,99
Nordsjællands Hospital,10,9,90,59.599999999999994,99.5
Norwegian University of Science and Technology,76,52,68.4,57.3,77.8
Odense University Hospital,91,59,64.8,54.6,73.9
Oslo University Hospital,102,65,63.7,54.1,72.39999999999999
Oulu University Hospital,10,4,40,16.8,68.7
Sahlgrenska University Hospital,42,20,47.6,33.4,62.3
Skane University Hospital,23,14,60.9,40.8,77.8
St. Olav’s University Hospital,24,17,70.8,50.8,85.1
Steno Diabetes Center Copenhagen,13,10,76.9,49.7,91.8
Stockholm South General Hospital,3,1,33.3,1.7000000000000002,88.2
Tampere University Hospital,24,11,45.8,27.900000000000002,64.9
The National University Hospital of Iceland,5,3,60,23.1,92.9
Turku University Hospital,50,37,74,60.4,84.1
UiT The Arctic University of Norway,14,7,50,26.8,73.2
Umeå University,42,26,61.9,46.800000000000004,75
University Hospital of North Norway,17,13,76.5,52.7,90.4
University Hospital of Umeå,2,1,50,2.6,97.39999999999999
University of Bergen,31,14,45.2,29.2,62.2
University of Copenhagen,99,54,54.5,44.800000000000004,64
University of Eastern Finland,12,8,66.7,39.1,86.2
University of Helsinki,21,13,61.9,40.9,79.2
University of Iceland,5,1,20,1,62.4
University of Oslo,23,16,69.6,49.1,84.39999999999999
University of Oulu,25,11,44,26.700000000000003,62.9
University of Southern Denmark,42,23,54.8,39.900000000000006,68.8
University of Tampere,9,1,11.1,0.6,43.5
University of Turku,20,11,55,34.2,74.2
Uppsala Academic Hospital,9,4,44.4,18.9,73.3
Uppsala University,51,27,52.9,39.5,65.9
Zealand University Hospital,28,22,78.6,60.5,89.8
Örebro University,17,2,11.8,2.1,34.300000000000004
Örebro University Hospital,1,0,0,0,94.89999999999999
Total,2113,1257,59.5,57.4,61.6
